Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Mon Dec 1 2014,10:30 pm,Minnesota Timberwolves,101,Los Angeles Clippers,127,Box Score,,
Mon Dec 1 2014,7:00 pm,San Antonio Spurs,109,Philadelphia 76ers,103,Box Score,,
Mon Dec 1 2014,9:00 pm,Denver Nuggets,103,Utah Jazz,101,Box Score,,
Mon Dec 1 2014,7:00 pm,Miami Heat,86,Washington Wizards,107,Box Score,,
Tue Dec 2 2014,7:30 pm,Boston Celtics,105,Atlanta Hawks,109,Box Score,,
Tue Dec 2 2014,8:00 pm,Dallas Mavericks,132,Chicago Bulls,129,Box Score,2OT,
Tue Dec 2 2014,7:00 pm,Milwaukee Bucks,108,Cleveland Cavaliers,111,Box Score,,
Tue Dec 2 2014,9:00 pm,Portland Trail Blazers,105,Denver Nuggets,103,Box Score,,
Tue Dec 2 2014,7:30 pm,Los Angeles Lakers,106,Detroit Pistons,96,Box Score,,
Tue Dec 2 2014,10:30 pm,Orlando Magic,97,Golden State Warriors,98,Box Score,,
Tue Dec 2 2014,8:00 pm,Oklahoma City Thunder,104,New Orleans Pelicans,112,Box Score,,
Tue Dec 2 2014,7:30 pm,Brooklyn Nets,98,New York Knicks,93,Box Score,,
Tue Dec 2 2014,9:00 pm,Indiana Pacers,99,Phoenix Suns,116,Box Score,,
Tue Dec 2 2014,10:00 pm,Toronto Raptors,117,Sacramento Kings,109,Box Score,,
Wed Dec 3 2014,7:30 pm,Detroit Pistons,102,Boston Celtics,109,Box Score,OT,
Wed Dec 3 2014,7:30 pm,San Antonio Spurs,93,Brooklyn Nets,95,Box Score,OT,
Wed Dec 3 2014,7:00 pm,Chicago Bulls,102,Charlotte Hornets,95,Box Score,,
Wed Dec 3 2014,8:00 pm,Memphis Grizzlies,96,Houston Rockets,105,Box Score,,
Wed Dec 3 2014,10:30 pm,Orlando Magic,86,Los Angeles Clippers,114,Box Score,,
Wed Dec 3 2014,7:30 pm,Atlanta Hawks,112,Miami Heat,102,Box Score,,
Wed Dec 3 2014,8:00 pm,Dallas Mavericks,107,Milwaukee Bucks,105,Box Score,,
Wed Dec 3 2014,8:00 pm,Philadelphia 76ers,85,Minnesota Timberwolves,77,Box Score,,
Wed Dec 3 2014,9:00 pm,Toronto Raptors,123,Utah Jazz,104,Box Score,,
Wed Dec 3 2014,7:00 pm,Los Angeles Lakers,95,Washington Wizards,111,Box Score,,
Thu Dec 4 2014,10:30 pm,New Orleans Pelicans,85,Golden State Warriors,112,Box Score,,
Thu Dec 4 2014,8:00 pm,Cleveland Cavaliers,90,New York Knicks,87,Box Score,,
Thu Dec 4 2014,10:00 pm,Indiana Pacers,82,Portland Trail Blazers,88,Box Score,,
Fri Dec 5 2014,7:30 pm,Los Angeles Lakers,96,Boston Celtics,113,Box Score,,
Fri Dec 5 2014,7:30 pm,Atlanta Hawks,98,Brooklyn Nets,75,Box Score,,
Fri Dec 5 2014,7:00 pm,New York Knicks,102,Charlotte Hornets,103,Box Score,,
Fri Dec 5 2014,8:30 pm,Phoenix Suns,118,Dallas Mavericks,106,Box Score,,
Fri Dec 5 2014,8:00 pm,San Antonio Spurs,107,Memphis Grizzlies,101,Box Score,,
Fri Dec 5 2014,8:30 pm,Miami Heat,85,Milwaukee Bucks,109,Box Score,,
Fri Dec 5 2014,8:00 pm,Houston Rockets,114,Minnesota Timberwolves,112,Box Score,OT,
